Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1424-418,2022-Nov-10,59893.0,"1.289E+00,-3.568E-01",Y,0.1%,35.0,5.471,0.097,-0.357,0° ± 0.1°
1424-418,2022-Oct-24,59876.0,"6.153E-01,1.008E-01",Y,0.2%,40.0,5.981,0.161,0.101,0.1° ± 0.1°
1424-418,2022-Oct-24,59876.0,"6.153E-01,1.008E-01",Y,0.2%,38.0,5.95,0.161,0.101,0.1° ± 0.1°
1424-418,2022-Oct-14,59866.0,"1.188E+00,-2.900E-01",Y,0.1%,38.0,5.369,0.083,-0.29,0° ± 0.4°
1424-418,2022-Oct-14,59866.0,"1.188E+00,-2.900E-01",Y,0.1%,40.0,5.289,0.083,-0.29,0° ± 0.5°
1424-418,2022-Oct-08,59860.0,"1.552E+00,-4.910E-01",Y,0.2%,38.0,5.975,0.126,-0.491,0.3° ± 0.4°
1424-418,2022-Oct-08,59860.0,"1.552E+00,-4.910E-01",Y,0.2%,40.0,5.826,0.126,-0.491,0.3° ± 0.4°
1424-418,2022-Aug-27,59818.0,"8.883E-01,-1.102E-01",Y,0%,38.0,5.179,0.028,-0.11,0.2° ± 0.3°
1424-418,2022-Aug-27,59818.0,"8.883E-01,-1.102E-01",Y,0%,40.0,5.149,0.028,-0.11,0.2° ± 0.2°
1424-418,2022-Jun-25,59755.0,"1.096E+00,-3.114E-01",Y,0.1%,38.0,4.018,0.017,-0.311,0.1° ± 0.1°
1424-418,2022-Jun-25,59755.0,"1.096E+00,-3.114E-01",Y,0.1%,40.0,3.955,0.017,-0.311,0.1° ± 0.1°
1424-418,2022-May-28,59727.0,"6.188E-01,-1.997E-02",Y,0.1%,40.0,3.862,0.02,-0.02,0° ± 0.1°
1424-418,2022-May-28,59727.0,"6.188E-01,-1.997E-02",Y,0.1%,38.0,3.866,0.02,-0.02,0.1° ± 0.1°
1424-418,2022-Apr-29,59698.0,"3.895E-01,1.082E-01",Y,0.1%,33.0,3.579,0.018,0.108,0.4° ± 0.5°
1424-418,2022-Apr-29,59698.0,"3.895E-01,1.082E-01",Y,0.1%,35.0,3.602,0.018,0.108,0.4° ± 0.5°
1424-418,2022-Apr-22,59691.0,"4.608E-01,8.742E-02",Y,0.2%,38.0,3.971,0.017,0.087,0.5° ± 0.6°
1424-418,2022-Apr-22,59691.0,"4.608E-01,8.742E-02",Y,0.2%,40.0,3.989,0.017,0.087,0.5° ± 0.6°
1424-418,2022-Mar-01,59639.0,"1.725E+00,-7.566E-01",Y,0.4%,40.0,3.257,0.115,-0.757,0.5° ± 0.6°
